path,group_name,group_type
/Users/gdwha/Downloads/exports/ep24_oujapansoc_followers_0419.csv,Japan Society,society
/Users/gdwha/Downloads/exports/ep24_oxford_ksoc_followers_0419.csv,Korea Society,society
/Users/gdwha/Downloads/exports/ep24_oxforditaliansoc_followers_0419.csv,Italian Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordjazzorchestra_followers_0419.csv,Jazz Orchestra,society
/Users/gdwha/Downloads/exports/ep24_oxuniliberals_followers_0419.csv,Liberal Association,society
/Users/gdwha/Downloads/exports/ep24_oxford_ouls_followers_0419.csv,Lithuanian Society,society
/Users/gdwha/Downloads/exports/ep24_officialoules_followers_0419.csv,Light Entertainment Society,society
/Users/gdwha/Downloads/exports/ep24_oxforduniversityquizsociety_followers_0420.csv,Quiz Society,society
/Users/gdwha/Downloads/exports/ep24_oxornithologicalss_followers_0419.csv,Ornithological Student Society,society
/Users/gdwha/Downloads/exports/ep24_oxpolsoc_followers_0419.csv,Polish Society,society
/Users/gdwha/Downloads/exports/ep24_oxford_lancers_afc_followers_0420.csv,American Football,sport
/Users/gdwha/Downloads/exports/ep24_oumssa_followers_0419.csv,Malaysian & Singaporean Students' Association - OUMSSA,society
/Users/gdwha/Downloads/exports/ep24_ouwindorchestra_followers_0420.csv,Wind Orchestra,society
/Users/gdwha/Downloads/exports/ep24_oxunimusicsociety_followers_0419.csv,Music Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordsrilankasoc_followers_0420.csv,Sri Lanka Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordstrategygroup_followers_0420.csv,Oxford Strategy Group (OSG),society
/Users/gdwha/Downloads/exports/ep24_oxfordalphafund_followers_0420.csv,Alpha Fund,society
/Users/gdwha/Downloads/exports/ep24_synbiooxford_followers_0420.csv,Synthetic Biology Society for,society
/Users/gdwha/Downloads/exports/ep24_oxstudentopera_followers_0420.csv,Student Opera Society,society
/Users/gdwha/Downloads/exports/ep24_oulgbtq_followers_0419.csv,LGBTQ+ Society,society
/Users/gdwha/Downloads/exports/ep24_sustainablefinanceox_followers_0420.csv,Sustainable Finance Society,society
/Users/gdwha/Downloads/exports/ep24_oxuasociety_followers_0420.csv,Ukrainian Society,society
/Users/gdwha/Downloads/exports/ep24_outtsox_followers_0420.csv,Outtsox,society
/Users/gdwha/Downloads/exports/ep24_oxwif_followers_0420.csv,Women in Finance,society
/Users/gdwha/Downloads/exports/ep24_orhi_uk_followers_0420.csv,Refugee Health Initiative,society
/Users/gdwha/Downloads/exports/ep24_oxrosoc_followers_0420.csv,Romanian Society,society
/Users/gdwha/Downloads/exports/ep24_ouphilharmonia_followers_0419.csv,Philharmonia,society
/Users/gdwha/Downloads/exports/ep24_stepintooxmed_followers_0420.csv,STEP inTO OxMED,society
/Users/gdwha/Downloads/exports/ep24_oxfordmexsoc_followers_0419.csv,Mexican Society,society
/Users/gdwha/Downloads/exports/ep24_tshaoxford_followers_0420.csv,Turl Street Homeless Action,society
/Users/gdwha/Downloads/exports/ep24_oxpsychsoc_followers_0420.csv,Psychology Society,society
/Users/gdwha/Downloads/exports/ep24_oxwocs_followers_0420.csv,Womxn In Computer Science,society
/Users/gdwha/Downloads/exports/ep24_oxfordndsociety_followers_0419.csv,Neurodiversity Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordturkish_followers_0420.csv,Turkish Society,society
/Users/gdwha/Downloads/exports/ep24_oxforduniathletics_followers_0420.csv,Athletics,sport
/Users/gdwha/Downloads/exports/ep24_newman_society1878_followers_0419.csv,Newman Society: The Oxford Catholic Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordsocsoc_followers_0420.csv,Socratic Society,society
/Users/gdwha/Downloads/exports/ep24_oxuniscottishdance_followers_0420.csv,Scottish Dance Society,society
/Users/gdwha/Downloads/exports/ep24_oxnewrussiansoc_followers_0419.csv,New Russian Society,society
/Users/gdwha/Downloads/exports/ep24_oxforduniphotosoc_followers_0419.csv,Photography Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordphilsoc_followers_0419.csv,Philosophy Society,society
/Users/gdwha/Downloads/exports/ep24_oxforduniboxing_followers_0420.csv,Boxing,sport
/Users/gdwha/Downloads/exports/ep24_oxfordrevue_followers_0420.csv,The Oxford Revue,society
/Users/gdwha/Downloads/exports/ep24_ou_swiss_society_followers_0420.csv,Swiss Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordsalsasociety_followers_0420.csv,Salsa Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordfinancesoc_followers_0420.csv,Finance Society,society
/Users/gdwha/Downloads/exports/ep24_oxpersonalisedmed_followers_0419.csv,Personalised Medicine Society,society
/Users/gdwha/Downloads/exports/ep24_ousymphonicband_followers_0420.csv,Symphonic Band,society
/Users/gdwha/Downloads/exports/ep24_oxfordmalaysians_followers_0419.csv,Malaysia Club,society
/Users/gdwha/Downloads/exports/ep24_orpgsoc_followers_0420.csv,Role Playing Games Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordaikido_followers_0420.csv,Aikido,sport
/Users/gdwha/Downloads/exports/ep24_ouscisoc_followers_0420.csv,Scientific Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordphilippinessociety_followers_0419.csv,Philippines Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordperusociety_followers_0419.csv,Peruvian Society,society
/Users/gdwha/Downloads/exports/ep24_ouckc_followers_0421.csv,Canoe & Kayak,sport
/Users/gdwha/Downloads/exports/ep24_oxford_physsoc_followers_0419.csv,Physics Society,society
/Users/gdwha/Downloads/exports/ep24_oubsc_followers_0420.csv,Baseball,sport
/Users/gdwha/Downloads/exports/ep24_oxpotterysoc_followers_0419.csv,Pottery Society,society
/Users/gdwha/Downloads/exports/ep24_omerjournal_followers_0419.csv,Middle East Review,society
/Users/gdwha/Downloads/exports/ep24_oxfordsyriansociety_followers_0420.csv,Syria Society,society
/Users/gdwha/Downloads/exports/ep24_180dcoxford_followers_0420.csv,180 Degrees Consulting,society
/Users/gdwha/Downloads/exports/ep24_oxfordmisessociety_followers_0419.csv,Mises Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordconservationsoc_followers_0419.csv,Nature Conservation Society,society
/Users/gdwha/Downloads/exports/ep24_tango_society_followers_0420.csv,Tango Society,society
/Users/gdwha/Downloads/exports/ep24_oxscicom_followers_0420.csv,Society for Science Communication and Engagement (OSSCE),society
/Users/gdwha/Downloads/exports/ep24_taruithornoxtolksoc_followers_0420.csv,Tolkien Society (Taruithorn),society
/Users/gdwha/Downloads/exports/ep24_oxqazaqsociety_followers_0420.csv,Qazaq Society,society
/Users/gdwha/Downloads/exports/ep24_ouspaceastronomy_followers_0420.csv,Astronomy Society,society
/Users/gdwha/Downloads/exports/ep24_stairjournal_followers_0420.csv,St. Antony's International Review (STAIR),society
/Users/gdwha/Downloads/exports/ep24_oxforduniversityorchestra_followers_0419.csv,Orchestra,society
/Users/gdwha/Downloads/exports/ep24_ouarfc_followers_0420.csv,Australian Rules Football,sport
/Users/gdwha/Downloads/exports/ep24_oustringensemble_followers_0420.csv,String Ensemble,society
/Users/gdwha/Downloads/exports/ep24_oxmigrationsociety_followers_0419.csv,Migration Society,society
/Users/gdwha/Downloads/exports/ep24_phoenoxdance_followers_0419.csv,Phoenox Dance,society
/Users/gdwha/Downloads/exports/ep24_oxfordtaiwansocoutss_followers_0420.csv,Taiwanese Students' Society,society
/Users/gdwha/Downloads/exports/ep24_oxfordnightline_followers_0419.csv,Nightline,society
/Users/gdwha/Downloads/exports/ep24_oxpublichealthsoc_followers_0420.csv,Public Health Society,society
/Users/gdwha/Downloads/exports/ep24_oussg__followers_0420.csv,Scout and Guide Group,society
/Users/gdwha/Downloads/exports/ep24_capitoxsociety_followers_0420.csv,CapitOx,society
/Users/gdwha/Downloads/exports/ep24_oxfordsanskritsociety_followers_0420.csv,Sanskrit Society,society
/Users/gdwha/Downloads/exports/ep24_oxford_uni_caving_followers_0421.csv,Caving,sport
/Users/gdwha/Downloads/exports/ep24_oxford_university_badminton_followers_0420.csv,Badminton,sport
/Users/gdwha/Downloads/exports/ep24_oxfordspanishsociety_followers_0420.csv,Spanish Society,society
/Users/gdwha/Downloads/exports/ep24_oxforduniteasoc_followers_0420.csv,Tea Appreciation Society,society
/Users/gdwha/Downloads/exports/ep24_studentfilmjournal_followers_0420.csv,Student Film Journal,society
/Users/gdwha/Downloads/exports/ep24__oucofa__followers_0420.csv,Company of Archers,society
/Users/gdwha/Downloads/exports/ep24_oxfordstudentsforlife_followers_0420.csv,Students For Life,society
/Users/gdwha/Downloads/exports/ep24_oucc_women_followers_0421.csv,Cricket,sport
/Users/gdwha/Downloads/exports/ep24_oucroquet_followers_0421.csv,Croquet,sport
/Users/gdwha/Downloads/exports/ep24_oucc2026_followers_0421.csv,Cricket,sport
/Users/gdwha/Downloads/exports/ep24_oxforduniversitycrosscountry_followers_0421.csv,Cross Country,sport
/Users/gdwha/Downloads/exports/ep24_oxford_sirens_followers_0421.csv,Cheerleading,sport
/Users/gdwha/Downloads/exports/ep24_oxunicpsc_followers_0421.csv,Clay Pigeon Shooting,sport
/Users/gdwha/Downloads/exports/ep24_oxfordunicc_followers_0421.csv,Cycling,sport
/Users/gdwha/Downloads/exports/ep24_oucompetitiondance_followers_0421.csv,Competition Dance,society
/Users/gdwha/Downloads/exports/ep24_ougc1937_followers_0421.csv,Golf,sport
/Users/gdwha/Downloads/exports/ep24_oulgcblues_followers_0421.csv,Golf,sport
/Users/gdwha/Downloads/exports/ep24_ouafc_followers_0421.csv,Football,sport
/Users/gdwha/Downloads/exports/ep24_oxfordunisailing_followers_0421.csv,Yachting,sport
/Users/gdwha/Downloads/exports/ep24_oufutsal_followers_0421.csv,Futsal,sport
/Users/gdwha/Downloads/exports/ep24_oxforduniversityfloorball_followers_0421.csv,Floorball,sport
/Users/gdwha/Downloads/exports/ep24_ou_fencing_followers_0421.csv,Fencing,sport
/Users/gdwha/Downloads/exports/ep24_ougcblues_followers_0421.csv,Golf,sport
/Users/gdwha/Downloads/exports/ep24_oxforduniversityequestrianclub_followers_0421.csv,Equestrian,sport
/Users/gdwha/Downloads/exports/ep24_oudancesport_followers_0421.csv,Dancesport Club,sport
/Users/gdwha/Downloads/exports/ep24_oxfordmodernpent_followers_0421.csv,Modern Pentathlon,sport
/Users/gdwha/Downloads/exports/ep24_oxfordunikickboxing_followers_0421.csv,Kickboxing,sport
/Users/gdwha/Downloads/exports/ep24_ouihc1885_followers_0421.csv,Ice Hockey,sport
/Users/gdwha/Downloads/exports/ep24_oupolesports_followers_0421.csv,Pole Sports,sport
/Users/gdwha/Downloads/exports/ep24_oultc1879_followers_0421.csv,Tennis,sport
/Users/gdwha/Downloads/exports/ep24_oxforduni_kendo_followers_0421.csv,Kendo,sport
/Users/gdwha/Downloads/exports/ep24_ouplc_followers_0421.csv,Powerlifting,sport
/Users/gdwha/Downloads/exports/ep24_oupsc147_followers_0421.csv,Pool & Snooker,sport
/Users/gdwha/Downloads/exports/ep24_oxfordhandball_followers_0421.csv,Handball,sport
/Users/gdwha/Downloads/exports/ep24_oxfordunilifesaving_followers_0421.csv,Lifesaving,sport
/Users/gdwha/Downloads/exports/ep24_oxfordjudo_followers_0421.csv,Judo,sport
/Users/gdwha/Downloads/exports/ep24_oxforduniversitypistolclub_followers_0421.csv,Pistol,sport
/Users/gdwha/Downloads/exports/ep24_oulacrosseclub__followers_0421.csv,Lacrosse,sport
/Users/gdwha/Downloads/exports/ep24_ounetball_followers_0421.csv,Netball,sport
/Users/gdwha/Downloads/exports/ep24_oxfordunikorfball_followers_0421.csv,Korfball,sport
/Users/gdwha/Downloads/exports/ep24_oxforduniversityhc_followers_0421.csv,Hockey,sport
/Users/gdwha/Downloads/exports/ep24_oumotordriversclub_followers_0421.csv,Motor Drivers',sport
/Users/gdwha/Downloads/exports/ep24__oummac_followers_0421.csv,Mixed Martial Arts,sport
/Users/gdwha/Downloads/exports/ep24_ouoctopushclub_followers_0421.csv,Octopush,sport
/Users/gdwha/Downloads/exports/ep24_oukarateclub_followers_0421.csv,Karate,sport
/Users/gdwha/Downloads/exports/ep24_oxforduniorienteering_followers_0421.csv,Orienteering,sport
/Users/gdwha/Downloads/exports/ep24_oxforduniversitypoloclub_followers_0421.csv,Polo,sport
/Users/gdwha/Downloads/exports/ep24_ougym_followers_0421.csv,Gymnastics,sport
/Users/gdwha/Downloads/exports/ep24_theoxfordmc_followers_0421.csv,Mountaineering,sport
/Users/gdwha/Downloads/exports/ep24_oxfordunirifleclub_followers_0421.csv,Rifle,sport
/Users/gdwha/Downloads/exports/ep24_oxfordunibc_followers_0422.csv,Rowing,sport
